lyric,occurence,pos
you,13474,PRO
i,12582,N
the,10232,DET
me,6517,PRO
it,6497,PRO
and,6476,CNJ
to,6172,TO
a,6069,DET
my,4849,PRO
i'm,3844,
that,3764,CNJ
in,3688,P
on,3513,P
your,3087,PRO
like,3060,CNJ
up,2743,ADV
oh,2684,UH
so,2482,DET
know,2462,V
be,2430,V
we,2373,PRO
all,2362,DET
don't,2321,V
love,2231,N
just,2095,ADV
of,2053,P
this,1975,DET
got,1953,VD
but,1938,CNJ
get,1875,V
for,1858,P
do,1826,V
with,1770,P
is,1759,V
go,1722,V
it's,1713,PRO
yeah,1697,ADV
baby,1684,N
what,1664,WH
she,1623,PRO
now,1601,ADV
when,1586,WH
no,1473,DET
can,1454,MOD
girl,1359,N
you're,1351,PRO
make,1348,V
if,1327,CNJ
wanna,1284,VB+TO
want,1283,V
see,1257,V
down,1196,ADV
out,1154,ADV
one,1126,NUM
let,1097,V
can't,1083,MOD
they,1051,PRO
never,1034,ADV
say,1009,V
way,1003,N
back,998,ADV
'cause,992,
her,987,PRO
right,977,ADJ
time,969,N
ain't,963,V
take,940,V
at,910,P
hey,870,UH
come,846,V
gonna,841,VBG+TO
night,775,N
how,767,WH
was,765,V
not,757,*
are,739,V
i'll,731,
feel,726,V
have,696,V
from,693,P
life,665,N
na,658,
could,637,MOD
need,633,N
ya,613,PRO
here,608,ADV
good,593,ADJ
been,588,V
keep,575,V
tell,569,V
that's,564,DET
about,562,P
then,554,ADV
put,550,V
think,529,V
ever,522,ADV
we're,522,PRO
more,520,DET
heart,510,N
away,505,ADV
la,504,FW
them,502,PRO
tonight,501,N
as,499,CNJ
had,496,V
gotta,495,VBN+TO
give,492,V
where,491,WH
too,481,DET
why,474,WH
will,473,MOD
only,468,ADV
rock,467,N
boy,455,N
every,454,DET
i've,454,
he,445,PRO
some,440,DET
who,433,WH
around,431,P
turn,429,V
there,428,EX
let's,424,VB+PPO
look,419,V
even,413,ADV
man,410,N
money,405,N
little,404,DET
stop,404,V
world,402,N
better,394,ADJ
or,392,CNJ
day,386,N
ooh,383,
would,382,MOD
off,377,ADV
won't,376,MOD
over,374,P
call,366,V
gone,363,VN
hard,356,ADJ
said,355,VD
there's,347,EX
ay,346,
hands,343,N
us,342,PRO
thing,341,N
shit,339,N
body,335,N
show,331,V
by,330,P
'em,325,PRO
long,320,ADJ
nothing,317,PRO
shake,317,V
really,313,ADV
still,313,ADV
mind,310,N
our,308,PRO
home,305,N
try,300,V
bad,298,ADJ
kiss,296,V
dance,293,N
uh,292,
through,291,P
always,290,ADV
run,290,V
watch,289,V
again,288,ADV
cause,283,N
da,282,
club,276,N
break,274,V
ass,273,N
everything,271,PRO
leave,269,V
than,263,CNJ
well,263,ADV
eyes,262,N
hear,260,V
girls,256,N
find,251,V
hold,251,V
she's,250,PRO
party,247,N
real,245,ADJ
imma,238,
am,237,V
nigga,237,
things,237,N
move,234,V
you'll,234,PRO
into,233,P
stay,233,V
name,232,N
gon',231,
last,231,DET
everybody,229,PRO
were,229,V
big,227,ADJ
floor,226,N
head,226,N
these,226,DET
touch,226,N
wish,225,V
beat,223,N
shawty,221,
lights,218,N
told,217,VD
'bout,216,P
work,216,N
live,214,V
before,213,CNJ
bitch,213,N
wit,213,N
